CASEID,EVRMARRY,ONOWN,ONOWN18,PARMARR,INTACT18,MOMFSTCH,EVERSEX,GRFSTSX,SEDBC,PTSB4MAR,USEFSTSX,MTHFSTSX1,RELRAISD,ATTND14,AGER,HIEDUC,RACE,MAR1CON1,B1PREMAR,VRY1STAG,LIFPRTNR,SEX1MTHD1,RELIGION,LABORFOR,TOTINCR,topics_discussed_count,discuss_topic1,discuss_topic2,discuss_topic3,discuss_topic4,discuss_topic5,discuss_topic6,discuss_topic8,premarital
80819,NEVER MARRIED,No,No,Don't know,No,18-19 YEARS,Yes,,,,YES,Condom,Fundamentalist Protestant,,25 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,21,2 PARTNERS,Condom,PROTESTANT,Working full-time,"$35,000-$39,999",0,0,0,0,0,0,0,0,1
80831,NEVER MARRIED,Yes,Yes,No,Yes,18-19 YEARS,No,,Yes,,,,Baptist/Southern Baptist,Once a week,18 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,Other,"$35,000-$39,999",7,1,1,1,1,1,1,1,0
80832,NEVER MARRIED,No,No,Yes,Yes,LESS THAN 18 YEARS,Yes,,Yes,,NO,,Baptist/Southern Baptist,Once a week,24 YEARS,SOME COLLEGE BUT NO DEGREE,BLACK,,,18,6 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,"$40,000-$49,999",0,0,0,0,0,0,0,0,1
80834,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,,10th grade,Yes,,YES,Birth control pills,Other religion,Once or twice a year,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,16,4 PARTNERS,Pill,OTHER RELIGIONS,Working part-time,"$75,000-$99,999",7,1,1,1,1,1,1,1,
80847,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,,,,,Catholic,,25 YEARS,BACHELOR'S DEGREE,OTHER,,,,NONE,,CATHOLIC,Keeping house,"$100,000 or more",0,0,0,0,0,0,0,0,0
80848,NEVER MARRIED,Yes,Yes,Yes,No,30 OR OLDER,,,Yes,,YES,Birth control pills,Fundamentalist Protestant,More than once a week,23 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,,,18,2 PARTNERS,Pill,PROTESTANT,Working part-time,"$20,000-$24,999",3,0,1,1,0,0,0,1,
80857,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,Yes,9th grade,No,,YES,Condom,Baptist/Southern Baptist,More than once a week,15 YEARS,9TH GRADE OR LESS,BLACK,,,15,1 PARTNER,Condom,PROTESTANT,Working full-time,"$100,000 or more",6,1,1,1,1,1,1,0,1
80858,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Other religion,3-11 times a year,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,OTHER RELIGIONS,In school,"$30,000-$34,999",6,1,1,1,1,1,1,0,0
80870,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,,No,,NO,,Other religion,Never,19 YEARS,SOME COLLEGE BUT NO DEGREE,OTHER,,,18,3 PARTNERS,Did not use a method at 1st intercourse,OTHER RELIGIONS,Working part-time,"$25,000-$29,999",0,0,0,0,0,0,0,0,1
80873,NEVER MARRIED,No,No,Yes,Yes,Don't know,No,,Yes,,,,Baptist/Southern Baptist,More than once a week,16 YEARS,10TH GRADE,WHITE,,,,NONE,,PROTESTANT,Keeping house,"$25,000-$29,999",0,0,0,0,0,0,0,0,0
80878,EVER MARRIED,No,No,Yes,Yes,18-19 YEARS,,,,3 PARTNERS,NO,,No religion,,25 YEARS,9TH GRADE OR LESS,WHITE,First conception before marriage,YES,18,3 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Keeping house,Under $5000,0,0,0,0,0,0,0,0,1
80896,NEVER MARRIED,No,No,Yes,Yes,18-19 YEARS,No,,No,,,,Baptist/Southern Baptist,Never,20 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,PROTESTANT,Working part-time,"$15,000-$19,999",3,0,1,1,1,0,0,0,0
80897,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,9th grade,No,,NO,,Protestant - No specific denomination,Once a week,16 YEARS,10TH GRADE,WHITE,,,14,4 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Not working but looking for work,"$35,000-$39,999",0,0,0,0,0,0,0,0,1
80908,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,,10th grade,Yes,,YES,Condom,Baptist/Southern Baptist,Never,24 YEARS,9TH GRADE OR LESS,WHITE,"Has been pregnant, but has never been married",YES,15,24,Condom,OTHER RELIGIONS,Keeping house,"$75,000-$99,999",7,1,1,1,1,1,1,1,
80910,NEVER MARRIED,Yes,Yes,Yes,Yes,25-29 YEARS,Yes,10th grade,Yes,,YES,Birth control pills,Catholic,Once a week,18 YEARS,"12TH GRADE, NO DIPLOMA (NOR GED)",WHITE,,,16,8 PARTNERS,Pill,CATHOLIC,Working part-time,"$100,000 or more",5,1,1,1,1,0,1,0,1
80912,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,,Yes,,YES,Condom,Catholic,Once a month (about 12 times a year),23 YEARS,BACHELOR'S DEGREE,WHITE,,,18,1 PARTNER,Condom,CATHOLIC,Working part-time,"$35,000-$39,999",2,0,0,0,1,0,0,1,1
80915,NEVER MARRIED,No,No,No,Yes,25-29 YEARS,,8th grade,Yes,,NO,,"Methodist, Lutheran, Presbyterian, Episcopal",More than once a week,23 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,13,9 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Keeping house,"$12,500-$14,999",0,0,0,0,0,0,0,0,
80916,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,No,,No,,,,Protestant - No specific denomination,Once a month (about 12 times a year),17 YEARS,11TH GRADE,OTHER,,,,NONE,,PROTESTANT,In school,"$60,000-$74,999",3,0,0,0,1,1,0,1,0
80917,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,,Yes,,YES,Condom,Catholic,2-3 times a month,24 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,,,21,1 PARTNER,Condom,CATHOLIC,Keeping house,"$30,000-$34,999",2,0,1,0,1,0,0,0,1
80919,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,Yes,,,,Other religion,More than once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,OTHER RELIGIONS,In school,"$50,000-$59,999",3,1,0,0,1,0,0,1,0
80924,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,Yes,9th grade,Yes,,YES,Condom,"Methodist, Lutheran, Presbyterian, Episcopal",2-3 times a month,18 YEARS,11TH GRADE,BLACK,,,14,4 PARTNERS,Condom,PROTESTANT,Working part-time,"$20,000-$24,999",0,0,0,0,0,0,0,0,1
80931,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,9th grade,Yes,,YES,"Withdrawal, pulling out",Other religion,Once or twice a year,15 YEARS,9TH GRADE OR LESS,WHITE,,,15,3 PARTNERS,Withdrawal,OTHER RELIGIONS,Not working but looking for work,"$25,000-$29,999",5,1,1,1,1,1,0,0,1
80938,EVER MARRIED,No,No,Yes,Yes,25-29 YEARS,,,Yes,NONE,YES,Condom,Protestant - No specific denomination,Once a week,23 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,13-24 months,,21,1 PARTNER,Condom,PROTESTANT,Working part-time,"$30,000-$34,999",1,0,0,0,0,0,0,1,0
80939,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,No,,,,Catholic,Once or twice a year,15 YEARS,9TH GRADE OR LESS,OTHER,,,,NONE,,CATHOLIC,In school,"$40,000-$49,999",0,0,0,0,0,0,0,0,0
80942,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Once a week,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,CATHOLIC,Working full-time,"$10,000-$12,499",0,0,0,0,0,0,0,0,0
80944,NEVER MARRIED,No,No,No,No,18-19 YEARS,,,Yes,,YES,Condom,Catholic,2-3 times a month,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,18,1 PARTNER,Condom,NO RELIGION,Other,"$10,000-$12,499",3,1,0,0,1,0,0,1,
80958,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,No religion,3-11 times a year,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,In school,"$100,000 or more",5,1,1,1,1,1,0,0,0
80960,EVER MARRIED,No,No,Yes,Yes,25-29 YEARS,,,,3 PARTNERS,YES,Birth control pills,"Methodist, Lutheran, Presbyterian, Episcopal",,25 YEARS,BACHELOR'S DEGREE,WHITE,More than 3 years,,19,3 PARTNERS,Pill,PROTESTANT,Keeping house,"$60,000-$74,999",0,0,0,0,0,0,0,0,1
80969,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,9th grade,Yes,,YES,Condom,Baptist/Southern Baptist,Once a week,16 YEARS,9TH GRADE OR LESS,WHITE,,,15,1 PARTNER,Condom,PROTESTANT,In school,"$12,500-$14,999",7,1,1,1,1,1,1,1,1
80984,NEVER MARRIED,Yes,Yes,Yes,Yes,30 OR OLDER,,,No,,NO,,No religion,Never,22 YEARS,BACHELOR'S DEGREE,WHITE,,,19,2 PARTNERS,Did not use a method at 1st intercourse,NO RELIGION,In school,"$15,000-$19,999",3,1,0,0,1,1,0,0,
80998,NEVER MARRIED,No,No,No,No,MOTHER OR MOTHER-FIGURE DID NOT HAVE ANY CHILDREN,Yes,9th grade,No,,YES,Birth control pills,No religion,Never,17 YEARS,11TH GRADE,OTHER,,,15,4 PARTNERS,Pill,CATHOLIC,Working part-time,"$100,000 or more",3,0,1,1,1,0,0,0,1
80999,EVER MARRIED,Yes,Yes,Yes,Yes,LESS THAN 18 YEARS,,,Yes,1 PARTNER,YES,"Hormonal implant (Norplant, Implanon, or Nexplanon)",Catholic,Once a week,23 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,13-24 months,,21,1 PARTNER,"Implant (Norplant, Implanon, or Nexplanon)",OTHER RELIGIONS,Working part-time,"$50,000-$59,999",1,0,0,0,0,0,0,1,1
81001,NEVER MARRIED,No,No,No,No,LESS THAN 18 YEARS,Yes,11th grade,Yes,,NO,,Protestant - No specific denomination,Once a week,18 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),OTHER,,,17,2 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,In school,"$50,000-$59,999",6,0,1,1,1,1,1,1,1
81011,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,Yes,,,,Protestant - No specific denomination,More than once a week,19 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,,NONE,,PROTESTANT,Working full-time,"$35,000-$39,999",0,0,0,0,0,0,0,0,0
81028,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Baptist/Southern Baptist,Once a month (about 12 times a year),19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,NO RELIGION,In school,"$75,000-$99,999",0,0,0,0,0,0,0,0,0
81037,NEVER MARRIED,No,No,No,No,18-19 YEARS,No,,Yes,,,,Other religion,More than once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,OTHER RELIGIONS,In school,$5000-$7499,2,0,1,0,0,0,0,1,0
81038,EVER MARRIED,No,No,Yes,Yes,20-24 YEARS,,9th grade,Yes,13,YES,"Hormonal implant (Norplant, Implanon, or Nexplanon)","Methodist, Lutheran, Presbyterian, Episcopal",Once a week,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,More than 3 years,,15,13,"Implant (Norplant, Implanon, or Nexplanon)",PROTESTANT,Keeping house,"$35,000-$39,999",7,1,1,1,1,1,1,1,1
81044,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,No,,Yes,,,,Protestant - No specific denomination,Once a week,15 YEARS,9TH GRADE OR LESS,BLACK,,,,NONE,,PROTESTANT,Keeping house,"$50,000-$59,999",6,1,1,1,1,1,0,1,0
81049,NEVER MARRIED,No,No,No,No,18-19 YEARS,No,,Yes,,,,Catholic,Once a week,16 YEARS,10TH GRADE,BLACK,,,,NONE,,NO RELIGION,In school,$5000-$7499,2,0,1,0,1,0,0,0,0
81053,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",More than once a week,22 YEARS,BACHELOR'S DEGREE,BLACK,,,,NONE,,NO RELIGION,Not working but looking for work,"$75,000-$99,999",3,0,1,0,1,1,0,0,0
81054,NEVER MARRIED,No,No,No,Yes,20-24 YEARS,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,In school,$7500-$9999,4,0,1,0,1,0,1,1,0
81069,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,,,Yes,,YES,Condom,Catholic,Once a week,24 YEARS,BACHELOR'S DEGREE,WHITE,,,18,2 PARTNERS,Condom,CATHOLIC,Working full-time,"$75,000-$99,999",5,1,1,1,1,1,0,0,
81071,EVER MARRIED,Yes,Yes,Yes,No,LESS THAN 18 YEARS,,,No,,,,Catholic,More than once a week,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,13-24 months,,,NONE,,PROTESTANT,Working full-time,"$30,000-$34,999",7,1,1,1,1,1,1,1,
81080,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,No religion,Never,24 YEARS,MASTER'S DEGREE,OTHER,,,,NONE,,NO RELIGION,Working full-time,"$40,000-$49,999",5,1,1,1,1,1,0,0,0
81082,NEVER MARRIED,No,No,No,No,20-24 YEARS,No,,Yes,,,,Catholic,More than once a week,17 YEARS,10TH GRADE,BLACK,,,,NONE,,CATHOLIC,Working part-time,"$35,000-$39,999",0,0,0,0,0,0,0,0,0
81092,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,No,,Yes,,,,Protestant - No specific denomination,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,Keeping house,"$40,000-$49,999",4,1,0,0,1,1,0,1,0
81095,NEVER MARRIED,No,No,No,No,LESS THAN 18 YEARS,Yes,10th grade,Yes,,YES,Condom,Baptist/Southern Baptist,More than once a week,20 YEARS,SOME COLLEGE BUT NO DEGREE,BLACK,,,16,4 PARTNERS,Condom,PROTESTANT,Working full-time,"$30,000-$34,999",5,1,0,1,1,1,0,1,1
81113,NEVER MARRIED,No,No,No,Yes,18-19 YEARS,No,,Yes,,,,Protestant - No specific denomination,Once a week,19 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,,NONE,,PROTESTANT,Keeping house,"$10,000-$12,499",1,0,0,0,1,0,0,0,0
81114,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,No,,No,,,,Other Protestant denomination,Once a week,17 YEARS,11TH GRADE,WHITE,,,,NONE,,PROTESTANT,In school,"$100,000 or more",2,1,0,0,0,0,0,1,0
81117,EVER MARRIED,Yes,Yes,Yes,No,18-19 YEARS,,,Yes,NONE,YES,IUD,Protestant - No specific denomination,Once a week,23 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,More than 3 years,,18,1 PARTNER,"IUD, coil, loop",PROTESTANT,Working part-time,"$40,000-$49,999",1,0,0,0,0,0,0,1,0
81119,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",2-3 times a month,16 YEARS,10TH GRADE,WHITE,,,,NONE,,PROTESTANT,Other,"$25,000-$29,999",0,0,0,0,0,0,0,0,0
81126,NEVER MARRIED,No,No,No,No,LESS THAN 18 YEARS,Yes,9th grade,Yes,,YES,"Depo-Provera, injectables",No religion,Never,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,15,6 PARTNERS,"Depo-Provera, injectables",NO RELIGION,Working full-time,"$15,000-$19,999",3,0,1,1,1,0,0,0,1
81131,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,No,,Yes,,,,Protestant - No specific denomination,Once a week,18 YEARS,11TH GRADE,WHITE,,,,NONE,,PROTESTANT,Working part-time,"$12,500-$14,999",2,1,0,1,0,0,0,0,0
81137,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,Yes,11th grade,Yes,,YES,Birth control pills,Protestant - No specific denomination,2-3 times a month,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,17,1 PARTNER,Pill,PROTESTANT,Working part-time,"$15,000-$19,999",2,1,0,1,0,0,0,0,1
81139,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,,Yes,,YES,Condom,Catholic,Never,21 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),OTHER,,,18,2 PARTNERS,Condom,CATHOLIC,Working full-time,"$25,000-$29,999",1,0,0,0,0,0,0,1,1
81141,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,10th grade,No,,YES,Condom,Catholic,Once a month (about 12 times a year),22 YEARS,BACHELOR'S DEGREE,WHITE,,,16,3 PARTNERS,Condom,CATHOLIC,Working full-time,"$100,000 or more",6,1,1,1,1,1,1,0,1
81142,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,No,,,,Catholic,3-11 times a year,18 YEARS,11TH GRADE,WHITE,,,,NONE,,CATHOLIC,In school,"$100,000 or more",3,1,0,1,0,0,1,0,0
81147,NEVER MARRIED,No,No,Yes,Yes,LESS THAN 18 YEARS,Yes,,Yes,,YES,Condom,No religion,Never,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,18,5 PARTNERS,Condom,NO RELIGION,In school,"$50,000-$59,999",6,1,1,1,1,1,1,0,1
81149,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,Other,"$30,000-$34,999",6,1,1,1,1,1,0,1,0
81151,NEVER MARRIED,Yes,Yes,Yes,No,25-29 YEARS,No,,No,,,,Catholic,Once a week,22 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,PROTESTANT,In school,"$40,000-$49,999",0,0,0,0,0,0,0,0,0
81159,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,,10th grade,Yes,,YES,Birth control pills,Catholic,Once a week,18 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,15,5 PARTNERS,Pill,CATHOLIC,Working part-time,"$100,000 or more",6,1,1,1,1,1,1,0,
81164,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,,No,,YES,Birth control pills,No religion,Once or twice a year,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,18,1 PARTNER,Pill,NO RELIGION,"Working, but on vacation, strike, or had temporary illness","$60,000-$74,999",7,1,1,1,1,1,1,1,1
81172,NEVER MARRIED,No,No,No,No,LESS THAN 18 YEARS,Yes,11th grade,Yes,,YES,Condom,Catholic,Once a week,17 YEARS,11TH GRADE,WHITE,,,17,1 PARTNER,Condom,CATHOLIC,Working part-time,"$60,000-$74,999",4,1,1,0,1,0,1,0,1
81179,NEVER MARRIED,No,No,Yes,Yes,18-19 YEARS,Yes,11th grade,No,,YES,Condom,No religion,Never,19 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),OTHER,,,17,3 PARTNERS,Condom,NO RELIGION,Working part-time,"$60,000-$74,999",1,0,0,0,0,0,0,1,1
81180,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,11th grade,Yes,,NO,,Catholic,Once a month (about 12 times a year),24 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,16,10,Did not use a method at 1st intercourse,NO RELIGION,Working full-time,"$25,000-$29,999",4,0,1,1,1,1,0,0,1
81184,NEVER MARRIED,Yes,Yes,Yes,No,LESS THAN 18 YEARS,,,,,NO,,Baptist/Southern Baptist,,25 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",,19,5 PARTNERS,Did not use a method at 1st intercourse,OTHER RELIGIONS,Working full-time,"$40,000-$49,999",0,0,0,0,0,0,0,0,
81194,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,No religion,Never,16 YEARS,10TH GRADE,WHITE,,,,NONE,,NO RELIGION,In school,"$100,000 or more",0,0,0,0,0,0,0,0,0
81206,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,10th grade,Yes,,YES,Condom,Baptist/Southern Baptist,3-11 times a year,18 YEARS,11TH GRADE,BLACK,,,15,1 PARTNER,Condom,PROTESTANT,"Working, but on vacation, strike, or had temporary illness","$75,000-$99,999",7,1,1,1,1,1,1,1,1
81207,NEVER MARRIED,No,No,No,No,LESS THAN 18 YEARS,No,,Yes,,,,Catholic,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,In school,"$40,000-$49,999",4,0,1,1,1,0,1,0,0
81215,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,Yes,,Yes,,YES,Condom,Catholic,More than once a week,22 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,18,4 PARTNERS,Condom,CATHOLIC,Other,"$40,000-$49,999",7,1,1,1,1,1,1,1,1
81217,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,No,,,,Catholic,Once a week,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,PROTESTANT,Working part-time,"$40,000-$49,999",2,1,0,0,0,0,0,1,0
81226,NEVER MARRIED,Yes,Yes,Yes,No,20-24 YEARS,,9th grade,Yes,,YES,Condom,Catholic,Once a week,24 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,16,4 PARTNERS,Condom,CATHOLIC,Working part-time,Under $5000,2,0,1,0,0,0,0,1,
81232,NEVER MARRIED,No,No,No,No,20-24 YEARS,Yes,8th grade,Yes,,NO,,Protestant - No specific denomination,Once a month (about 12 times a year),23 YEARS,BACHELOR'S DEGREE,OTHER,,,13,16,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,"$10,000-$12,499",7,1,1,1,1,1,1,1,1
